english,urdu_ref,urdu_google,urdu_meta,bleu_google,bleu_meta
wheres my coat,میرا کوٹ کہاں ہے,میرا کوٹ کہاں ہے,میرا کپڑا کیا ہے,100.00000000000004,18.99589214128981
i am game,میں کھیل ہوں,میں کھیل ہوں,میں کھیل ہوں,100.00000000000004,100.00000000000004
he likes it very much,وہ اسے بہت پسند کرتا ہے,وہ اسے بہت پسند کرتا ہے,وہ بہت پسند کرتا ہے,100.00000000000004,57.89300674674101
i come from china,میں چین سے آیا ہوں۔,میں چین سے آیا ہوں۔,میں چین سے آتا ہوں,100.00000000000004,39.76353643835254
shes a bad liar,وہ ایک بری جھوٹی ہے,وہ ایک بری جھوٹی ہے,ایک برا جھوٹ بولتا ہے,100.00000000000004,12.70331870386537
the roses smell nice,گلاب کی خوشبو اچھی ہے,گلاب کی خوشبو اچھی ہے,پھولوں کی بو اچھی ہے,100.00000000000004,23.643540225079395
nobodys seen tom,کسی نے ٹام کو نہیں دیکھا,کسی نے ٹام کو نہیں دیکھا,ٹام کو دیکھنے کے لئے,100.00000000000004,17.491650626361256
he will not go,وہ نہیں جائے گا,وہ نہیں جائے گا,وہ نہیں چلے گا,100.00000000000004,35.35533905932737
i dont doubt that,مجھے اس پر شک نہیں ہے۔,مجھے اس پر شک نہیں ہے۔,مجھے کوئی شک نہیں کہ,100.00000000000004,19.357693493908812
this is selling at throw away price,یہ پھینکی ہوئی قیمت پر فروخت ہو رہا ہے۔,یہ پھینکی ہوئی قیمت پر فروخت ہو رہا ہے۔,یہ ہے فروخت پر پھینک دیا قیمت,100.00000000000004,6.979367151952678
lets give it a try,آئیے اسے آزمائیں,آئیے اسے آزمائیں,اسے ایک کوشش دے دو,100.00000000000004,10.682175159905853
you are a doctor,آپ ایک ڈاکٹر ہو,آپ ایک ڈاکٹر ہیں,آپ ایک ڈاکٹر ہیں,59.460355750136046,59.460355750136046
i think zain is normal,میرے خیال میں زین نارمل ہے۔,میرے خیال میں زین نارمل ہے۔,مجھے لگتا ہے کہ زین عام ہے,100.00000000000004,6.567274736060395
is it white,کیا یہ سفید ہے؟,کیا یہ سفید ہے؟,کیا یہ سفید ہے,100.00000000000004,59.460355750136046
what is the commotion,ہنگامہ کیا ہے,ہنگامہ کیا ہے,حوصلہ افزائی کیا ہے,100.00000000000004,31.947155212313625
send it in duplicate,اسے ڈپلیکیٹ میں بھیجیں۔,اسے ڈپلیکیٹ میں بھیجیں۔,اسے دوگنا میں بھیجیں,100.00000000000004,18.99589214128981
death rate is increasing,موت کی شرح بڑھ رہی ہے,موت کی شرح بڑھ رہی ہے,موت کی شرح بڑھ رہی ہے,100.00000000000004,100.00000000000004
why did you buy it,تم نے اسے کیوں خریدا,تم نے اسے کیوں خریدا,آپ نے اسے کیوں خریدا,100.00000000000004,66.87403049764218
she is eight,وہ آٹھ ہے,وہ آٹھ ہے,وہ آٹھ ہے,100.00000000000004,100.00000000000004
are you and zain close,کیا آپ اور زین قریب ہیں؟,کیا آپ اور زین قریب ہیں؟,آپ اور زین قریب ہیں,100.00000000000004,54.75182535069452
he was not pleased,وہ خوش نہیں تھا,وہ خوش نہیں تھا,وہ خوش نہیں تھا,100.00000000000004,100.00000000000004
zain made a mistake,زین نے غلطی کی,زین نے غلطی کی۔,زینب نے ایک غلطی کی,59.460355750136046,23.643540225079395
where can i take you,میں آپ کو کہاں لے جا سکتا ہوں,میں آپ کو کہاں لے جا سکتا ہوں,میں تمہیں کہاں لے جا سکتا ہوں,100.00000000000004,55.780028607687655
can you program in c,کیا آپ سی میں پروگرام کر سکتے ہیں؟,کیا آپ سی میں پروگرام کر سکتے ہیں؟,آپ کو C میں پروگرام کر سکتے ہیں,100.00000000000004,36.55552228545123
italy is a peninsula,اٹلی ایک جزیرہ نما ہے,اٹلی ایک جزیرہ نما ہے,ایتالیا ایک شبه جزیرے ہے,100.00000000000004,12.70331870386537
why did zain do this,زین نے ایسا کیوں کیا,زین نے ایسا کیوں کیا,زینب نے یہ کیوں کیا,100.00000000000004,23.643540225079395
you must be kidding,تم مذاق کر رہے ہو,تم مذاق کر رہے ہو,آپ کو گڑیا ہونا چاہئے,100.00000000000004,0.0
give me a day,مجھے ایک دن دو,مجھے ایک دن دو,مجھے ایک دن دے دو,100.00000000000004,42.7287006396234
oh have a heart,اوہ دل رکھو,اوہ دل رکھو,ایک دل ہے,100.00000000000004,27.516060407455225
torture is wrong,تشدد غلط ہے,تشدد غلط ہے,تشدد غلط ہے,100.00000000000004,100.00000000000004
zain is a good singer,زین ایک اچھا گلوکار ہے۔,زین ایک اچھا گلوکار ہے۔,زین ایک اچھا آواز ہے,100.00000000000004,39.76353643835254
i am working on that,میں اس پر کام کر رہا ہوں۔,میں اس پر کام کر رہا ہوں۔,میں اس پر کام کر رہا ہوں,100.00000000000004,80.91067115702207
they lied,انہوں نے جھوٹ بولا,انہوں نے جھوٹ بولا,جھوٹ بولتے ہیں,100.00000000000004,19.716118825581447
he showed me around,اس نے مجھے ارد گرد دکھایا,اس نے مجھے ارد گرد دکھایا,وہ مجھ کو دکھاتا ہے,100.00000000000004,0.0
have you seen this,کیاآپ نے یہ دیکھا ہے,کیا آپ نے یہ دیکھا ہے؟,کیا آپ نے یہ دیکھا ہے,30.213753973567677,50.81327481546147
give some bread,کچھ روٹی دو,کچھ روٹی دو,کچھ روٹی دے دو,100.00000000000004,35.35533905932737
i just work here,میں صرف یہاں کام کرتا ہوں۔,میں صرف یہاں کام کرتا ہوں۔,میں صرف یہاں کام کرتا ہوں,100.00000000000004,75.98356856515926
i want to eat steak,میں سٹیک کھانا چاہتا ہوں۔,میں سٹیک کھانا چاہتا ہوں۔,میں چمچ کھانا چاہتا ہوں,100.00000000000004,23.643540225079395
zain fell,زین گر گیا,زین گر گیا,زینب گر گیا,100.00000000000004,55.03212081491043
may i drink alcohol,کیا میں شراب پی سکتا ہوں؟,کیا میں شراب پی سکتا ہوں؟,میں شراب پیتا ہوں,100.00000000000004,19.37692912686648
what a great idea,کتنا اچھا خیال ہے,کتنا اچھا خیال ہے,کیا اچھا خیال ہے,100.00000000000004,59.460355750136046
i hardly knew tom,میں شاید ہی ٹام کو جانتا تھا۔,میں شاید ہی ٹام کو جانتا تھا۔,میں تھوڑا سا جانتا ہوں ٹام,100.00000000000004,9.042266054940777
stop complaining,شکائیتیں لگانا بند کرو,شکایت کرنا بند کرو,شکایت کرنے سے روکنا,31.947155212313625,0.0
zain lives near me,زین میرے قریب رہتا ہے۔,زین میرے قریب رہتا ہے۔,زینب میرے قریب رہتا ہے,100.00000000000004,39.76353643835254
we must be cautious,ہمیں محتاط رہنا چاہیے,ہمیں محتاط رہنا چاہیے,ہمیں احتیاط کرنا چاہئے,100.00000000000004,15.97357760615681
were here to help,مدد کرنے کے لئے یہاں تھے,مدد کرنے کے لئے یہاں تھے,مدد کرنے کے لئے یہاں تھے,100.00000000000004,100.00000000000004
i need some paper,مجھے کچھ کاغذ چاہیے,مجھے کچھ کاغذ چاہیے,مجھے کچھ کاغذ کی ضرورت ہے,100.00000000000004,30.213753973567677
i have lost my key,میں نے اپنی چابی کھو دی ہے۔,میں نے اپنی چابی کھو دی ہے۔,میں نے اپنی کلید کھو دی,100.00000000000004,32.159351091190125
she told him a joke,اس نے اسے ایک لطیفہ سنایا,اس نے اسے ایک لطیفہ سنایا,اس نے اس کو ایک مذاق کہا,100.00000000000004,14.535768424205482
youll catch a cold,آپ کو سردی لگ جائے گی۔,آپ کو سردی لگ جائے گی۔,یحییٰ بختیار: ایک ٹھنڈا,100.00000000000004,0.0
more is needed,مزید کی ضرورت ہے,مزید کی ضرورت ہے,زیادہ کی ضرورت ہے,100.00000000000004,59.460355750136046
he and only he knows the whole truth,وہ اور صرف وہی پوری حقیقت جانتا ہے۔,وہ اور صرف وہی پوری حقیقت جانتا ہے۔,وہ اور صرف وہ ہی حقیقت کو جانتا ہے,100.00000000000004,20.164945583740657
zain is downstairs,زین نیچے ہے,زین نیچے ہے,زینب کے نیچے ہے,100.00000000000004,31.947155212313625
please let me do it,براہ کرم مجھے کرنے دیں۔,براہ کرم مجھے کرنے دیں۔,براہ مہربانی مجھے ایسا کرنے دیں,100.00000000000004,10.682175159905853
i know this joke,میں یہ لطیفہ جانتا ہوں۔,میں یہ لطیفہ جانتا ہوں۔,میں جانتا ہوں یہ مذاق,100.00000000000004,14.058533129758727
keep your head down,اپنا سر نیچے رکھو,اپنا سر نیچے رکھو,اپنے سر کو نیچے رکھنا,100.00000000000004,12.70331870386537
zain is pompous,زین شاندار ہے,زین شاندار ہے,زینب پومپوس ہے,100.00000000000004,27.516060407455225
i love green peppers,مجھے ہری مرچ پسند ہے۔,مجھے ہری مرچ پسند ہے۔,میں سبز پیاز سے محبت کرتا ہوں,100.00000000000004,0.0
you are free to go,آپ جانے کے لیے آزاد ہیں۔,آپ جانے کے لیے آزاد ہیں۔,تم آزاد ہو جاؤ,100.00000000000004,9.688464563433238
the foods ready,کھانے تیار ہیں,کھانے تیار ہیں,کھانے کے لئے تیار,100.00000000000004,18.99589214128981
meanwhile,اسی دوران,اس دوران,اس کے بعد,49.99999999999999,0.0
where are my books,میری کتابیں کہاں ہیں؟,میری کتابیں کہاں ہیں؟,میری کتابیں کہاں ہیں,100.00000000000004,59.460355750136046
wait a moment,کچھ دیر انتظار,ایک لمحہ انتظار کرو,ایک لمحے کا انتظار,15.97357760615681,15.97357760615681
i like to peel apples,مجھے سیب چھیلنا پسند ہے۔,مجھے سیب چھیلنا پسند ہے۔,مجھے سیب پینٹ کرنا پسند ہے,100.00000000000004,17.965205598154213
do you feel guilty,کیا آپ مجرم محسوس کرتے ہیں؟,کیا آپ مجرم محسوس کرتے ہیں؟,کیا آپ کو گناہ محسوس ہوتا ہے,100.00000000000004,14.535768424205482
did you get my point,کیا آپ نے میری بات سمجھ لی؟,کیا آپ نے میری بات سمجھ لی؟,کیا آپ نے میری نقطہ نظر حاصل کی ہے,100.00000000000004,29.84745896009822
zain works slowly,زین آہستہ سے کام کرتا ہے۔,زین آہستہ سے کام کرتا ہے۔,زینب آہستہ آہستہ کام کرتا ہے,100.00000000000004,17.965205598154213
i dont want any more,مجھے مزید نہیں چاہیے,مجھے مزید نہیں چاہیے,میں کچھ اور نہیں چاہتا,100.00000000000004,10.682175159905853
dont ever doubt it,اس پر کبھی شک نہ کرو,اس پر کبھی شک نہ کرو,کبھی شک نہ کریں,100.00000000000004,36.06452879987789
it was really windy,یہ واقعی ہوا تھا,یہ واقعی ہوا تھا,یہ واقعی بادل تھا,100.00000000000004,35.35533905932737
he asked me for help,اس نے مجھ سے مدد مانگی۔,اس نے مجھ سے مدد مانگی۔,وہ مجھ سے مدد مانگتا ہے,100.00000000000004,30.213753973567677
whose friend are you,آپ کس کے دوست ہیں؟,آپ کس کے دوست ہیں؟,جس کا دوست آپ ہیں,100.00000000000004,12.70331870386537
he saw a pretty girl,اس نے ایک خوبصورت لڑکی کو دیکھا,اس نے ایک خوبصورت لڑکی کو دیکھا,میں نے ایک خوبصورت لڑکی کو دیکھا,100.00000000000004,80.91067115702207
zain ignored mary,زین نے مریم کو نظر انداز کیا۔,زین نے مریم کو نظر انداز کیا۔,ماری کو نظر انداز کر دیا گیا,100.00000000000004,24.446151121745054
dont tell my mother,میری ماں کو مت بتانا,میری ماں کو مت بتانا,میری ماں کو نہ کہو,100.00000000000004,39.76353643835254
he hanged himself,اس نے خود کو پھانسی دی,اس نے خود کو پھانسی دی,اُس نے خود کو پکڑ لیا,100.00000000000004,30.213753973567677
he knows the truth,وہ سچ جانتا ہے,وہ سچ جانتا ہے,وہ حقیقت کو جانتا ہے,100.00000000000004,23.643540225079395
i hid in the basement,میں تہہ خانے میں چھپ گیا۔,میں تہہ خانے میں چھپ گیا۔,میں ڈھونڈتا ہوں زمین میں,100.00000000000004,10.40059768900531
we had fun swimming in the pool,ہم نے پول میں تیراکی کا مزہ کیا۔,ہم نے پول میں تیراکی کا مزہ کیا۔,ہم نے ساحل میں لطف اندوز کیا,100.00000000000004,12.600736402830258
lets keep quiet,خاموش رہنے دو,خاموش رہنے دو,سکون رکھنا,100.00000000000004,0.0
zain opened a beer,زین نے بیئر کھولی۔,زین نے بیئر کھولی۔,زینب نے ایک بیئر کھول دی,100.00000000000004,9.652434877402245
i heard what happened,میں نے سنا کیا ہوا,میں نے سنا کیا ہوا,میں نے سنا کہ کیا ہوا,100.00000000000004,37.99178428257963
zain ran upstairs,زین اوپر کی طرف بھاگا۔,زین اوپر کی طرف بھاگا۔,زینب کے اوپر چلتے ہیں,100.00000000000004,10.682175159905853
dont you feel cold,آپ کو سردی نہیں لگتی,آپ کو سردی نہیں لگتی,آپ کو ٹھنڈا نہیں لگتا,100.00000000000004,23.643540225079395
i am standing,میں کھڑا ہوں,میں کھڑا ہوں,میں کھڑا ہوں,100.00000000000004,100.00000000000004
may i use your phone,کیا میں آپ کا فون استعمال کر سکتا ہوں؟,کیا میں آپ کا فون استعمال کر سکتا ہوں؟,میں آپ کے فون کا استعمال کر سکتا ہوں,100.00000000000004,24.274588585366175
why did you bring it,تم اسے کیوں لائے ہو,تم اسے کیوں لائے ہو,آپ نے اسے کیوں لایا,100.00000000000004,21.3643503198117
i will catch you soon,میں جلد ہی آپ کو پکڑوں گا۔,میں جلد ہی آپ کو پکڑوں گا۔,میں جلد ہی تمہیں پکڑوں گا,100.00000000000004,27.48254571080018
zain came here,زین یہاں آیا,زین یہاں آیا,زینب یہاں آئے,100.00000000000004,27.516060407455225
speak clearly,صاف صاف بولیں,صاف بولو,واضح باتیں,30.326532985631665,0.0
dont lose your purse,اپنا پرس مت کھونا,اپنا پرس مت کھونا,تمہارا پیسہ کھو نہ,100.00000000000004,0.0
i won fair and square,میں نے منصفانہ اور مربع جیت لیا,میں نے منصفانہ اور مربع جیت لیا,میں فاتح اور فاتح ہوں,100.00000000000004,8.515289178380433
i will pay for you,میں آپ کے لئے ادائیگی کروں گا,میں آپ کے لئے ادائیگی کروں گا,میں تمہارے لئے ادا کروں گا,100.00000000000004,16.341219448835542
whose side is zain on,جس کی طرف زین ہے۔,جس کی طرف زین ہے۔,جس کی طرف مٹی ہے,100.00000000000004,39.76353643835254
can i go first,کیا میں پہلے جا سکتا ہوں؟,کیا میں پہلے جا سکتا ہوں؟,میں سب سے پہلے جا سکتا ہوں,100.00000000000004,26.269098944241588
zip up your mouth,اپنے منہ کو زپ کرو,اپنے منہ کو زپ کرو,آپ کے منہ کو اٹھاؤ,100.00000000000004,21.3643503198117
i have enjoyed it,میں نے اس کا لطف اٹھایا ہے۔,میں نے اس کا لطف اٹھایا ہے۔,میں نے اسے پسند کیا,100.00000000000004,14.320952289897704
did zain push you,زین نے آپ کو دھکا دیا؟,زین نے آپ کو دھکا دیا؟,میں نے تمہیں دباؤ دیا,100.00000000000004,8.745825313180632
doesnt zain look good,زین اچھا نہیں لگتا,زین اچھا نہیں لگتا,زینب اچھا نظر نہیں آتا,100.00000000000004,12.70331870386537
zain trusts you,زین آپ پر بھروسہ کرتا ہے۔,زین آپ پر بھروسہ کرتا ہے۔,زینب آپ پر بھروسہ کرتا ہے,100.00000000000004,50.81327481546147
we need your help,ہمیں آپ کی مدد کی ضرورت کیوں ہے؟,ہمیں آپ کی مدد کی ضرورت ہے۔,ہم آپ کی مدد کی ضرورت ہے,70.1396726799769,53.29462628216855
i have a feeling that she'll come today,مجھے لگ رہا ہے کہ وہ آج آئے گی۔,مجھے احساس ہے کہ وہ آج آئے گی۔,مجھے لگتا ہے کہ وہ آج آئے گا,62.401954419369176,47.750342648354646
dont waste my time,میرا وقت ضائع مت کرو,میرا وقت ضائع مت کرو,میرا وقت ضائع نہ کریں,100.00000000000004,39.76353643835254
you can do it,تم کر سکتے ہو,آپ یہ کر سکتے ہیں۔,آپ کر سکتے ہیں,21.3643503198117,31.947155212313625
is it really true,کیا یہ واقعی سچ ہے؟,کیا یہ واقعی سچ ہے؟,کیا یہ واقعی سچ ہے,100.00000000000004,66.87403049764218
you are perspiring. or you are sweeting,آپ کو پسینہ آ رہا ہے. یا آپ میٹھا کر رہے ہیں؟,آپ کو پسینہ آ رہا ہے. یا آپ میٹھا کر رہے ہیں؟,تمہاری خوشی ہے یا تمہاری خوشی ہے,100.00000000000004,3.3142882018868014
"yes, by all means",جی ہاں، ہر طرح سے,جی ہاں، ہر طرح سے,جی ہاں، ہر طریقے سے,100.00000000000004,42.7287006396234
come sing with me,آؤ میرے ساتھ گاؤ,آؤ میرے ساتھ گاؤ,میرے ساتھ آؤ آواز,100.00000000000004,35.35533905932737
he was perfect,وہ کامل تھا,وہ کامل تھا,وہ کامل تھا,100.00000000000004,100.00000000000004
he cried out for help,اس نے مدد کے لیے پکارا۔,اس نے مدد کے لیے پکارا۔,اس نے مدد کے لئے پکارا,100.00000000000004,50.81327481546147
zain cant stand it,زین برداشت نہیں کر سکتا,زین برداشت نہیں کر سکتا,زین کانٹ اس پر,100.00000000000004,12.44023474812678
"come what may, i will not talk to him",جو ہو جائے، میں اس سے بات نہیں کروں گا۔,جو ہو جائے، میں اس سے بات نہیں کروں گا۔,کیا ہو سکتا ہے، میں اس سے بات نہیں کروں گا,100.00000000000004,47.987820666906636
is it a compliment,کیا یہ ایک تعریف ہے؟,کیا یہ ایک تعریف ہے؟,یہ ایک تعریف ہے,100.00000000000004,46.30777161991026
now you owe me,اب تم میرا مقروض ہو۔,اب تم میرا مقروض ہو۔,اب تو مجھ سے واجب ہے,100.00000000000004,8.116697886877475
we had fun with it,ہم نے اس کے ساتھ مزہ کیا,ہم نے اس کے ساتھ مزہ کیا,ہم نے اس کے ساتھ مزہ کیا,100.00000000000004,100.00000000000004
zain couldnt sleep,زین سو نہیں سکا,زین سو نہیں سکا,زینب خواب نہیں کر سکتے,100.00000000000004,10.682175159905853
i may as we will go now,میں شاید جیسا کہ ہم اب جائیں گے۔,میں شاید جیسا کہ ہم اب جائیں گے۔,میں جا سکتا ہوں جیسا کہ ہم اب جا رہے ہیں,100.00000000000004,24.808415001701817
i am a carpenter,میں ایک بڑھئی ہوں۔,میں ایک بڑھئی ہوں۔,میں ایک کارپینٹر ہوں,100.00000000000004,31.947155212313625
"it is very hot today, isn’t it",آج بہت گرمی ہے، ہے نا؟,آج بہت گرمی ہے، ہے نا؟,یہ بہت گرم ہے آج، یہ نہیں ہے,100.00000000000004,6.567274736060396
i cant come with you,میں آپ کے ساتھ نہیں آ سکتا,میں آپ کے ساتھ نہیں آ سکتا,میں تمہارے ساتھ آتا ہوں,100.00000000000004,8.515289178380433
zain knows i am home,زین جانتا ہے کہ میں گھر پر ہوں۔,زین جانتا ہے کہ میں گھر پر ہوں۔,زینب جانتا ہے میں گھر میں ہوں,100.00000000000004,16.10230726602675
i did that already,میں نے پہلے ہی یہ کیا,میں نے پہلے ہی یہ کیا,میں نے پہلے ہی ایسا کیا,100.00000000000004,53.7284965911771
zain comforted mary,زین نے مریم کو تسلی دی۔,زین نے مریم کو تسلی دی۔,ماریہ کے مترادفات,100.00000000000004,0.0
zain might come,زین آ سکتا ہے۔,زین آ سکتا ہے۔,زینب آئے ہو سکتا ہے,100.00000000000004,10.682175159905853
keep searching,تلاش کرتے رہیں,تلاش کرتے رہیں,تلاش جاری رکھیں,100.00000000000004,27.516060407455225
did he say something,کیا اس نے کچھ کہا؟,کیا اس نے کچھ کہا؟,کیا وہ کچھ کہتا ہے,100.00000000000004,12.70331870386537
zain will decide,زین فیصلہ کرے گا,زین فیصلہ کرے گا,زینب کا فیصلہ,100.00000000000004,19.716118825581447
zain disappointed me,زین نے مجھے مایوس کیا۔,زین نے مجھے مایوس کیا۔,زینب نے مجھے مایوس کر دیا,100.00000000000004,30.213753973567677
ignore it,اسے نظرانداز کرو,اسے نظر انداز کریں,اسے نظر انداز کریں,15.97357760615681,15.97357760615681
i am in paris,میں پیرس میں ہوں,میں پیرس میں ہوں,میں پیرس میں ہوں,100.00000000000004,100.00000000000004
he got what he wanted,اسے وہ مل گیا جو وہ چاہتا تھا۔,اسے وہ مل گیا جو وہ چاہتا تھا۔,وہ جو چاہتا ہے وہ حاصل کرتا ہے,100.00000000000004,7.809849842300641
zain had to do it,زین کو کرنا پڑا,زین کو کرنا پڑا,زینب کو ایسا کرنا پڑا,100.00000000000004,23.643540225079395
zain behaved himself,زین نے خود سے سلوک کیا۔,زین نے خود سے سلوک کیا۔,زینب نے خود کو,100.00000000000004,19.37692912686648
she is thirtyone,وہ تیس سال کی ہے۔,وہ تیس سال کی ہے۔,وہ تیسواں ہے,100.00000000000004,14.127216461522432
just go back to bed,صرف بستر پر واپس جاؤ,صرف بستر پر واپس جاؤ,صرف بستر پر واپس جاؤ,100.00000000000004,100.00000000000004
i am dying to see you,میں تمہیں دیکھنے کے لیے مر رہا ہوں۔,میں تمہیں دیکھنے کے لیے مر رہا ہوں۔,میں تمہیں دیکھنے کے لئے مر رہا ہوں,100.00000000000004,41.11336169005198
he works very hard,وہ بہت محنت کرتا ہے,وہ بہت محنت کرتا ہے,وہ بہت سخت کام کرتا ہے,100.00000000000004,22.957488466614326
i am a coward,میں بزدل ہوں,میں بزدل ہوں,میں ایک گھوڑا ہوں,100.00000000000004,18.99589214128981
zain never wears red,زین کبھی سرخ نہیں پہنتا,زین کبھی سرخ نہیں پہنتا,زینب کبھی سرخ نہیں پہنتا,100.00000000000004,66.87403049764218
zain likes adventure,زین کو ایڈونچر پسند ہے۔,زین کو ایڈونچر پسند ہے۔,زینب محبت کرتا ہے,100.00000000000004,0.0
he must love you,اسے تم سے پیار کرنا چاہیے۔,اسے تم سے پیار کرنا چاہیے۔,وہ تم سے محبت کرنا چاہئے,100.00000000000004,17.965205598154213
"her mother-in-law is good natured,but not",اس کی ساس اچھی طبیعت کی ہے، لیکن نہیں۔,اس کی ساس اچھی طبیعت کی ہے، لیکن نہیں۔,ان کی ماں بہن بہن بہن بہن بہن ہے لیکن نہیں,100.00000000000004,4.456882760699064
i just got up,میں ابھی اٹھا ہوں,میں ابھی اٹھا,میں نے صرف اٹھا,71.65313105737896,18.99589214128981
i was there yesterday,میں کل وہاں تھا۔,میں کل وہاں تھا۔,میں آج وہاں تھا,100.00000000000004,18.99589214128981
i am out of money,میرے پاس پیسے ختم ہو گئے ہیں۔,میرے پاس پیسے ختم ہو گئے ہیں۔,میں پیسہ سے باہر ہوں,100.00000000000004,0.0
i am a city dweller,میں شہر کا رہنے والا ہوں۔,میں شہر کا رہنے والا ہوں۔,میں شہر میں رہنے والا ہوں,100.00000000000004,22.957488466614326
it would not hurt,یہ چوٹ نہیں کرے گا,یہ چوٹ نہیں کرے گا,یہ درد نہیں کرے گا,100.00000000000004,42.7287006396234
break a leg,ٹانگ کھیچنا,ایک ٹانگ توڑ دو,ایک پاؤں کو توڑنا,15.97357760615681,0.0
are you reliable,کیا آپ قابل اعتماد ہیں؟,کیا آپ قابل اعتماد ہیں؟,کیا آپ قابل اعتماد ہیں,100.00000000000004,66.87403049764218
i am a bit tipsy,میں تھوڑا سا ٹپسی ہوں,میں تھوڑا سا ٹپسی ہوں,میں تھوڑا تھوڑا ہوں,100.00000000000004,27.534765745159184
doctor couldn’t diagnose his disease,ڈاکٹر اس کی بیماری کی تشخیص نہیں کر سکا,ڈاکٹر اس کی بیماری کی تشخیص نہیں کر سکا,ڈاکٹر نے اس کی بیماری کا تشخیص نہیں کیا,100.00000000000004,23.356898886410004
he was the only man,وہ واحد آدمی تھا,وہ واحد آدمی تھا,وہ ایک ہی آدمی تھا,100.00000000000004,23.643540225079395
jump over it,اس پر چھلانگ لگائیں,اس پر چھلانگ لگائیں,اس پر چڑھنا,100.00000000000004,39.43223765116288
